De la tarea: Limpiar paneles Se completo la accion: Viajar al culto para reclutar colaboradores, Tiempo: 3, Batería gastada: 25
De la tarea: Manual de actividades 5 Se completo la accion: Llora por estar en la friendzone, Tiempo: 15, Batería gastada: 5
De la tarea: Manual de actividades 5 Se completo la accion: Va a ponerse mamado para que le den pelota, Tiempo: 220, Batería gastada: 120
De la tarea: Manual de actividades 5 Se completo la accion: Caminan a casa, Tiempo: 50, Batería gastada: 30
De la tarea: Comuna#3 Se completo la accion: Recibir la clase , Tiempo: 150, Batería gastada: 30
De la tarea: Comuna#3 Se completo la accion: Cambiar el aula y recibir otra clase , Tiempo: 150, Batería gastada: 30
De la tarea: Comuna#3 Se completo la accion: Cambiar el aula y recibir otra clase , Tiempo: 150, Batería gastada: 30
De la tarea: Comuna#3 Se completo la accion: Tomar un tiempo para almorzar , Tiempo: 30, Batería gastada: 10
De la tarea: Comuna#3 Se completo la accion: Tomar corto descanso, Tiempo: 20, Batería gastada: 10
De la tarea: Cocinar Se completo la accion: Va a descansar , Tiempo: 63, Batería gastada: 3
De la tarea: Aprender a cultivar Se completo la accion: Colocar semillas, Tiempo: 82, Batería gastada: 22
De la tarea: Aprender a cultivar Se completo la accion: Saber cantidad necesaria, Tiempo: 25, Batería gastada: 10
De la tarea: Comuna#2 Se completo la accion: Realizar la clase , Tiempo: 150, Batería gastada: 30
De la tarea: Comuna#2 Se completo la accion: Cambiar de grupo y realizar otra clase , Tiempo: 150, Batería gastada: 30
De la tarea: Comuna#2 Se completo la accion: Cambiar de grupo y realizar otra clase , Tiempo: 150, Batería gastada: 30
De la tarea: Carro y gym Se completo la accion: Asear el área común, Tiempo: 42, Batería gastada: 12
De la tarea: Carro y gym Se completo la accion: Dia de piernas, Tiempo: 115, Batería gastada: 15
De la tarea: Carro y gym Se completo la accion: Asear el Gym, Tiempo: 46, Batería gastada: 16
De la tarea: Carro y gym Se completo la accion: Buscar huevos y tortillas, Tiempo: 5, Batería gastada: 0
De la tarea: Enseñanza diversa Se completo la accion: Inicia la primera lección sobre agricultura, Tiempo: 66, Batería gastada: 6
De la tarea: Enseñanza diversa Se completo la accion: Va por los implementos para la clase de cocina, Tiempo: 32, Batería gastada: 2
De la tarea: Enseñanza diversa Se completo la accion: Va por las verduras o frutas necesarias , Tiempo: 21, Batería gastada: 1
De la tarea: Enseñanza diversa Se completo la accion: Da la lección de cocina , Tiempo: 67, Batería gastada: 7
De la tarea: Enseñanza diversa Se completo la accion: Come su merienda, Tiempo: 33, Batería gastada: 3
De la tarea: Enseñanza diversa Se completo la accion: Recolecta los libros de biología, Tiempo: 33, Batería gastada: 3
De la tarea: Manual de actividades 2 Se completo la accion: Se confiesa con el pastor, Tiempo: 60, Batería gastada: 40
De la tarea: Manual de actividades 2 Se completo la accion: Va a casa, Tiempo: 15, Batería gastada: 5
De la tarea: Manual de actividades 2 Se completo la accion: Lava ropa y alista la del día siguiente, Tiempo: 80, Batería gastada: 20
De la tarea: Reparar el carro Se completo la accion: Revisa el carro, Tiempo: 13, Batería gastada: 3
De la tarea: Reparar el carro Se completo la accion: Compra pastillas para el dolor de cabeza, Tiempo: 15, Batería gastada: 5
De la tarea: Atender a los heridos Se completo la accion: Va por los medicamentos del paciente, Tiempo: 31, Batería gastada: 1
De la tarea: Atender a los heridos Se completo la accion: Sutura de herida del paciente, Tiempo: 66, Batería gastada: 6
De la tarea: Atender a los heridos Se completo la accion: Va por los Instrumentos, Tiempo: 21, Batería gastada: 1
De la tarea: Atender a los heridos Se completo la accion: Va por el desayuno , Tiempo: 48, Batería gastada: 3
De la tarea: Atender a los heridos Se completo la accion: Va a descansar , Tiempo: 34, Batería gastada: 4
De la tarea: Atender a los heridos Se completo la accion: Realiza la consulta del paciente, Tiempo: 33, Batería gastada: 3
De la tarea: Atender a los heridos Se completo la accion: Va por los medicamentos del paciente, Tiempo: 31, Batería gastada: 1
De la tarea: Atender a los heridos Se completo la accion: Realizar cirugía menor , Tiempo: 130, Batería gastada: 10
De la tarea: Manual de actividades 3 Se completo la accion: Recoge vegetales para la ensalada, Tiempo: 75, Batería gastada: 45
De la tarea: Manual de actividades 3 Se completo la accion: Busca la carne para el almuerzo, Tiempo: 30, Batería gastada: 10
De la tarea: Manual de actividades 3 Se completo la accion: Regaña al hijo por no atrapar a la gallina, Tiempo: 15, Batería gastada: 5
De la tarea: Aprender a programar Se completo la accion: Debe comer, Tiempo: 21, Batería gastada: 11
De la tarea: Aprender a programar Se completo la accion: Investigar en páginas, Tiempo: 45, Batería gastada: 20
De la tarea: Aprender a programar Se completo la accion: Practicar, Tiempo: 48, Batería gastada: 18
De la tarea: Aprender a programar Se completo la accion: Le duele la cabeza por pensar tanto, Tiempo: 26, Batería gastada: 11
De la tarea: Comuna#1 Se completo la accion: Comprobar notas para una operación, Tiempo: 40, Batería gastada: 10
De la tarea: Comuna#1 Se completo la accion: Obtener el material necesario, Tiempo: 30, Batería gastada: 10
De la tarea: Comuna#1 Se completo la accion: Obtener el material necesario, Tiempo: 30, Batería gastada: 10
De la tarea: Comuna#1 Se completo la accion: Prepara y comprobar todo, Tiempo: 30, Batería gastada: 20
De la tarea: Comuna#1 Se completo la accion: Realizar la operación  , Tiempo: 240, Batería gastada: 120
De la tarea: Manual de actividades 4 Se completo la accion: Busca la comida para sus papás, Tiempo: 30, Batería gastada: 10
De la tarea: Manual de actividades 4 Se completo la accion: Busca una moneda que se le perdio, Tiempo: 15, Batería gastada: 5
De la tarea: Manual de actividades 4 Se completo la accion: Se topa a un compa y se ponen a recordar, Tiempo: 80, Batería gastada: 20
De la tarea: Manual de actividades 4 Se completo la accion: Caminan a un bar, Tiempo: 50, Batería gastada: 30
De la tarea: Manual de actividades 4 Se completo la accion: Piensa en que no debe de tomar, Tiempo: 15, Batería gastada: 5
De la tarea: Salvar a un paciente Se completo la accion: Fue por comida a la despensa, Tiempo: 12, Batería gastada: 2
De la tarea: Mantener huerto Se completo la accion: A revisar los cultivos , Tiempo: 66, Batería gastada: 6
De la tarea: Mantener huerto Se completo la accion: Busca herramientas , Tiempo: 34, Batería gastada: 4
De la tarea: Mantener huerto Se completo la accion: Prepara la tierra , Tiempo: 66, Batería gastada: 6
De la tarea: Aprender Medicina casera Se completo la accion: Medicamentos , Tiempo: 66, Batería gastada: 21
De la tarea: Aprender Medicina casera Se completo la accion: combinar medicamentos, Tiempo: 112, Batería gastada: 50
De la tarea: Aprender una nueva Fe Se completo la accion: Se alimenta, Tiempo: 15, Batería gastada: 5
De la tarea: Aprender una nueva Fe Se completo la accion: Intento de otra creencia, Tiempo: 47, Batería gastada: 14
De la tarea: Crear y armar rompecabezas Se completo la accion: No encontro tijeras, fue un cuter , Tiempo: 55, Batería gastada: 9
De la tarea: Crear y armar rompecabezas Se completo la accion: Corta las piezas , Tiempo: 97, Batería gastada: 10
De la tarea: Crear y armar rompecabezas Se completo la accion: Se fue a dormir a la playa por el dolor de cabeza , Tiempo: 36, Batería gastada: 2
De la tarea: Aprender a cultivar Se completo la accion: Regar, Tiempo: 55, Batería gastada: 12
De la tarea: Preparar el culto Se completo la accion: Da el primer sermón, Tiempo: 125, Batería gastada: 5
De la tarea: Aprender a boxear Se completo la accion: Ver peleas, Tiempo: 75, Batería gastada: 15
De la tarea: Honear queque Se completo la accion: Decorar el queque   , Tiempo: 18, Batería gastada: 6
De la tarea: Manual de actividades 1 Se completo la accion: Para mantenerse en forma, Tiempo: 80, Batería gastada: 20
De la tarea: Cocinar Se completo la accion: Va al culto , Tiempo: 125, Batería gastada: 5
De la tarea: Aprender Medicina casera Se completo la accion: desechar inservibles, Tiempo: 21, Batería gastada: 13
De la tarea: Reparar el carro Se completo la accion: Saca el carro , Tiempo: 7, Batería gastada: 2
De la tarea: Aprender a programar Se completo la accion: Necesita descansar, Tiempo: 33, Batería gastada: 3
De la tarea: Salvar a un paciente Se completo la accion: Fue agraceder porque logro salvar a una persona, Tiempo: 12, Batería gastada: 2
De la tarea: Aprender una nueva Fe Se completo la accion: Estudios sobre el satanismo, Tiempo: 72, Batería gastada: 6
De la tarea: Aprender a cultivar Se completo la accion: Más espacio, Tiempo: 20, Batería gastada: 10
De la tarea: Aprender Medicina casera Se completo la accion: Más muestras, Tiempo: 29, Batería gastada: 17
De la tarea: Aprender Medicina casera Se completo la accion: realizar más practicas, Tiempo: 94, Batería gastada: 43
De la tarea: Crear y armar rompecabezas Se completo la accion: Cuenta y guarda las piezas, Tiempo: 37, Batería gastada: 2
De la tarea: Aprender a cultivar Se completo la accion: Debe de comer, Tiempo: 25, Batería gastada: 5
De la tarea: Aprender a cultivar Se completo la accion: Necesita energía adicional, Tiempo: 40, Batería gastada: 10
De la tarea: Preparar el culto Se completo la accion: Va por el desayuno, Tiempo: 48, Batería gastada: 3
De la tarea: Preparar el culto Se completo la accion: Se va a dormir, Tiempo: 64, Batería gastada: 4
De la tarea: Preparar el culto Se completo la accion: Limpiando y acomodando, Tiempo: 49, Batería gastada: 4
De la tarea: Preparar el culto Se completo la accion: Va por productos de limpieza, Tiempo: 32, Batería gastada: 2
De la tarea: Aprender a boxear Se completo la accion: Necesita comer, Tiempo: 20, Batería gastada: 10
De la tarea: Aprender a boxear Se completo la accion: Entrenar en una academia de boxeo, Tiempo: 85, Batería gastada: 25
De la tarea: Carro y gym Se completo la accion: Hacer la cena, Tiempo: 40, Batería gastada: 10
De la tarea: Enseñanza diversa Se completo la accion: Inicia la lección de protección ambiental , Tiempo: 64, Batería gastada: 4
De la tarea: Enseñanza diversa Se completo la accion: Recoge las herramientas para la clase de electrónica , Tiempo: 35, Batería gastada: 5
De la tarea: Aprender Medicina casera Se completo la accion: Tutoriales de medicamentos caseros, Tiempo: 72, Batería gastada: 32
De la tarea: Atender a los heridos Se completo la accion: Va por el almuerzo  , Tiempo: 48, Batería gastada: 3
De la tarea: Atender a los heridos Se completo la accion: Va al Gym, Tiempo: 34, Batería gastada: 4
De la tarea: Mantener huerto Se completo la accion: Va por abono, Tiempo: 17, Batería gastada: 2
De la tarea: Mantener huerto Se completo la accion: Sembrando las semillas , Tiempo: 128, Batería gastada: 8
De la tarea: Mantener huerto Se completo la accion: Va por el desayuno , Tiempo: 48, Batería gastada: 3
De la tarea: Mantener huerto Se completo la accion: Va a descansar , Tiempo: 34, Batería gastada: 4
De la tarea: Crear y armar rompecabezas Se completo la accion: LLama a sus amigos para armar el rompecabezas, Tiempo: 12, Batería gastada: 2
De la tarea: Preparar el culto Se completo la accion: Va a cardio dance, Tiempo: 68, Batería gastada: 8
De la tarea: Preparar el culto Se completo la accion: Preparando la agenda del segundo sermón, Tiempo: 33, Batería gastada: 3
De la tarea: Aprender una nueva Fe Se completo la accion: Unos versículos en una lengua muerta, Tiempo: 40, Batería gastada: 20
De la tarea: Honear queque Se completo la accion: Quemar las calorías del queque , Tiempo: 40, Batería gastada: 10
De la tarea: Aprender Medicina casera Se completo la accion: Aprendizaje de último minuto, Tiempo: 27, Batería gastada: 12
De la tarea: Reparar el carro Se completo la accion: Comprar comida , Tiempo: 12, Batería gastada: 2
De la tarea: Reparar el carro Se completo la accion: Lleva el carro para revisarlo, Tiempo: 17, Batería gastada: 12
De la tarea: Aprender a programar Se completo la accion: Debe comer, Tiempo: 21, Batería gastada: 11
De la tarea: Mantener huerto Se completo la accion: Regando las plantas , Tiempo: 64, Batería gastada: 4
De la tarea: Aprender Medicina casera Se completo la accion: Para combinar un poco de arroz con Formol, Tiempo: 62, Batería gastada: 21
De la tarea: Aprender Medicina casera Se completo la accion: Generar nuevas muestras, Tiempo: 72, Batería gastada: 31
De la tarea: Aprender una nueva Fe Se completo la accion: Memorizar, Tiempo: 27, Batería gastada: 12
De la tarea: Preparar el culto Se completo la accion: Va por el almuerzo, Tiempo: 48, Batería gastada: 3
De la tarea: Preparar el culto Se completo la accion: Se va a leer, Tiempo: 54, Batería gastada: 4
De la tarea: Aprender a boxear Se completo la accion: Necesita bebida para rehidratarse, Tiempo: 35, Batería gastada: 15
De la tarea: Aprender a boxear Se completo la accion: Entrenar en la casa, Tiempo: 60, Batería gastada: 20
De la tarea: Aprender a boxear Se completo la accion: Hacer una pelea en competencia, Tiempo: 25, Batería gastada: 10
De la tarea: Manual de actividades 1 Se completo la accion: Piropea a una muchacha a la salida del gimnasio, Tiempo: 20, Batería gastada: 10
De la tarea: Manual de actividades 1 Se completo la accion: Va a comprar una cofal, Tiempo: 40, Batería gastada: 30
De la tarea: Manual de actividades 1 Se completo la accion: Se pone el cofal, Tiempo: 40, Batería gastada: 20
De la tarea: Comuna#5 Se completo la accion: Tomar un tiempo para almorzar , Tiempo: 30, Batería gastada: 10
De la tarea: Comuna#5 Se completo la accion: Tomar corto descanso, Tiempo: 20, Batería gastada: 10
De la tarea: Comuna#3 Se completo la accion: Cambiar el aula y recibir otra clase, Tiempo: 150, Batería gastada: 30
De la tarea: Comuna#3 Se completo la accion: Realizar tareas y repasar materia, Tiempo: 140, Batería gastada: 60
De la tarea: Comuna#3 Se completo la accion: Comprobar resultados y obtener materia, Tiempo: 50, Batería gastada: 20
De la tarea: Cocinar Se completo la accion: Va a ver una receta , Tiempo: 34, Batería gastada: 4
De la tarea: Cocinar Se completo la accion: Prepara la cocina , Tiempo: 16, Batería gastada: 1
De la tarea: Cocinar Se completo la accion: Va a la despensa por los alimentos para la cena , Tiempo: 22, Batería gastada: 2
De la tarea: Aprender a cultivar Se completo la accion: Tiene que limpiar, Tiempo: 91, Batería gastada: 50
De la tarea: Comuna#2 Se completo la accion: Tomar un tiempo para almorzar , Tiempo: 30, Batería gastada: 10
De la tarea: Comuna#2 Se completo la accion: Tomar corto descanso, Tiempo: 20, Batería gastada: 10
De la tarea: Comuna#2 Se completo la accion: Realizar trabajos administrativos, Tiempo: 310, Batería gastada: 130
De la tarea: Comuna#4 Se completo la accion: Lo primero que hace es trabajar, Tiempo: 80, Batería gastada: 20
De la tarea: Comuna#4 Se completo la accion: Obtiene algo para desayunar, Tiempo: 110, Batería gastada: 20
De la tarea: Comuna#4 Se completo la accion: Hace algo de ejercicio, Tiempo: 110, Batería gastada: 20
De la tarea: Comuna#4 Se completo la accion: Alaba a Monesvol durante una hora, Tiempo: 80, Batería gastada: 20
De la tarea: Comuna#4 Se completo la accion: Trabaja un rato. Solo lo necesario, Tiempo: 80, Batería gastada: 20
De la tarea: Comuna#4 Se completo la accion: Ver tiktok por 1 hora, Tiempo: 80, Batería gastada: 20
De la tarea: Comuna#4 Se completo la accion: Trabaja por dos horas. Muy concentrado, Tiempo: 140, Batería gastada: 20
De la tarea: Comuna#4 Se completo la accion: Busca algo para el almuerzo, Tiempo: 110, Batería gastada: 20
De la tarea: Comuna#4 Se completo la accion: Consigue viveres y condimentos para el almuerzo, Tiempo: 110, Batería gastada: 20
De la tarea: Enseñanza diversa Se completo la accion: Da la lección de electrónica para el mantenimiento de la batería  , Tiempo: 66, Batería gastada: 6
De la tarea: Enseñanza diversa Se completo la accion: Va y almuerza en el receso , Tiempo: 48, Batería gastada: 3
De la tarea: Enseñanza diversa Se completo la accion: Recoge las herramientas de carpintería  , Tiempo: 22, Batería gastada: 2
De la tarea: Enseñanza diversa Se completo la accion: Inicia las clases de industriales , Tiempo: 52, Batería gastada: 7
De la tarea: Enseñanza diversa Se completo la accion: Devuelve las herramientas , Tiempo: 32, Batería gastada: 2
De la tarea: Manual de actividades 2 Se completo la accion: Se lava los dientes, Tiempo: 20, Batería gastada: 10
De la tarea: Manual de actividades 2 Se completo la accion: Ordena el cuarto, Tiempo: 40, Batería gastada: 30
De la tarea: Aprender Medicina casera Se completo la accion: probar en un voluntario, Tiempo: 92, Batería gastada: 42
De la tarea: Atender a los heridos Se completo la accion: Rellenar farmacia , Tiempo: 33, Batería gastada: 3
De la tarea: Manual de actividades 3 Se completo la accion: Afila los cuchillos y machetes, Tiempo: 80, Batería gastada: 20
De la tarea: Manual de actividades 3 Se completo la accion: Riega las plantas, Tiempo: 50, Batería gastada: 30
De la tarea: Manual de actividades 3 Se completo la accion: Piensa en un nombre para su doceavo hijo, Tiempo: 15, Batería gastada: 5
De la tarea: Aprender a programar Se completo la accion: Practicar, Tiempo: 24, Batería gastada: 9
De la tarea: Aprender a programar Se completo la accion: Hacer un software, Tiempo: 71, Batería gastada: 21
De la tarea: Comuna#1 Se completo la accion: Realizar la jornada laboral del día, Tiempo: 300, Batería gastada: 120
De la tarea: Comuna#1 Se completo la accion: Obtener la cena, Tiempo: 30, Batería gastada: 10
De la tarea: Manual de actividades 4 Se completo la accion: Se emborracha, Tiempo: 40, Batería gastada: 20
De la tarea: Mantener huerto Se completo la accion: Recoger el tractor (que si sirve), Tiempo: 35, Batería gastada: 5
De la tarea: Mantener huerto Se completo la accion: Cosecha el huerto , Tiempo: 54, Batería gastada: 4
De la tarea: Mantener huerto Se completo la accion: Va por el almuerzo , Tiempo: 48, Batería gastada: 3
De la tarea: Mantener huerto Se completo la accion: limpiando las herramientas, Tiempo: 49, Batería gastada: 4
De la tarea: Mantener huerto Se completo la accion: Devuelve las herramientas , Tiempo: 67, Batería gastada: 7
De la tarea: Aprender Medicina casera Se completo la accion: Para componerlo con antibióticos , Tiempo: 81, Batería gastada: 21
De la tarea: Aprender a cultivar Se completo la accion: Necesita Fe, Tiempo: 22, Batería gastada: 7
De la tarea: Aprender una nueva Fe Se completo la accion: Cambio de creencia, Tiempo: 53, Batería gastada: 12
De la tarea: Manual de actividades 5 Se completo la accion: Piensa en que tenía algo que hacer, Tiempo: 15, Batería gastada: 5
De la tarea: Manual de actividades 2 Se completo la accion: A dormir, Tiempo: 40, Batería gastada: 20
De la tarea: Manual de actividades 3 Se completo la accion: A dormir, Tiempo: 40, Batería gastada: 20
De la tarea: Aprender una nueva Fe Se completo la accion: Plegaria al 666, Tiempo: 38, Batería gastada: 21
De la tarea: Crear y armar rompecabezas Se completo la accion: Coordinar por donde va a empezar , Tiempo: 13, Batería gastada: 3
De la tarea: Comuna#5 Se completo la accion: Cosechar plantas, Tiempo: 150, Batería gastada: 30
De la tarea: Comuna#3 Se completo la accion: Realizar trabajos colaborativo, Tiempo: 70, Batería gastada: 10
De la tarea: Crear y armar rompecabezas Se completo la accion: Separan las piezas   , Tiempo: 45, Batería gastada: 10
De la tarea: Comuna#4 Se completo la accion: Trabaja un rato, Tiempo: 80, Batería gastada: 20
De la tarea: Comuna#4 Se completo la accion: Trabaja un rato, Tiempo: 80, Batería gastada: 20
De la tarea: Comuna#4 Se completo la accion: Ver tutoriales para hippies por 1 hora, Tiempo: 80, Batería gastada: 20
De la tarea: Comuna#4 Se completo la accion: Termina trabajo del dia, Tiempo: 80, Batería gastada: 20
De la tarea: Comuna#4 Se completo la accion: Busca algo para la cena, Tiempo: 110, Batería gastada: 20
De la tarea: Manual de actividades 5 Se completo la accion: Se acuerda que no avanzo en nada de la progra, Tiempo: 10, Batería gastada: 5
De la tarea: Carro y gym Se completo la accion: Cenar , Tiempo: 30, Batería gastada: 0
De la tarea: Aprender Medicina casera Se completo la accion: Con la ayuda De Dios nada sale mal, Tiempo: 86, Batería gastada: 54
De la tarea: Aprender a cultivar Se completo la accion: Le pide a Dios, Tiempo: 23, Batería gastada: 5
De la tarea: Preparar el culto Se completo la accion: Da el segundo sermón, Tiempo: 125, Batería gastada: 5
De la tarea: Preparar el culto Se completo la accion: Toma café y chismea, Tiempo: 55, Batería gastada: 5
De la tarea: Manual de actividades 1 Se completo la accion: A dormir porque ya esta viejito, Tiempo: 45, Batería gastada: 5
De la tarea: Comuna#5 Se completo la accion: Preparar para transportar, Tiempo: 140, Batería gastada: 60
De la tarea: Comuna#5 Se completo la accion: Reabastecer las despensa, Tiempo: 140, Batería gastada: 20
De la tarea: Comuna#5 Se completo la accion: Realizar el trabajo en otras zonas del huerto, Tiempo: 300, Batería gastada: 120
De la tarea: Comuna#5 Se completo la accion: Obtener la cena, Tiempo: 30, Batería gastada: 10
De la tarea: Comuna#5 Se completo la accion: Disfrutar del tiempo libre , Tiempo: 120, Batería gastada: 60
De la tarea: Comuna#3 Se completo la accion: Comprobar resultados y obtener materia, Tiempo: 50, Batería gastada: 20
De la tarea: Comuna#3 Se completo la accion: Recibir clases de la tarde, Tiempo: 300, Batería gastada: 120
De la tarea: Comuna#3 Se completo la accion: Obtener la cena, Tiempo: 30, Batería gastada: 10
De la tarea: Comuna#3 Se completo la accion: Disfrutar del tiempo libre , Tiempo: 120, Batería gastada: 60
De la tarea: Cocinar Se completo la accion: Hacer la cena, Tiempo: 63, Batería gastada: 3
De la tarea: Cocinar Se completo la accion: Va a la farmacia por una venda , Tiempo: 23, Batería gastada: 3
De la tarea: Cocinar Se completo la accion: Recoger la cocina , Tiempo: 16, Batería gastada: 1
De la tarea: Aprender a cultivar Se completo la accion: Necesita distraerse, Tiempo: 33, Batería gastada: 10
De la tarea: Comuna#2 Se completo la accion: Revisar tareas  , Tiempo: 70, Batería gastada: 10
De la tarea: Comuna#2 Se completo la accion: Realizar la jornada laboral del día, Tiempo: 300, Batería gastada: 120
De la tarea: Comuna#2 Se completo la accion: Obtener la cena, Tiempo: 30, Batería gastada: 10
De la tarea: Comuna#4 Se completo la accion: Al final del dia es responsable y estudia, Tiempo: 80, Batería gastada: 20
De la tarea: Atender a los heridos Se completo la accion: Va por los medicamentos, Tiempo: 25, Batería gastada: 5
De la tarea: Comuna#1 Se completo la accion: Disfrutar del tiempo libre , Tiempo: 120, Batería gastada: 60
De la tarea: Mantener huerto Se completo la accion: Se va a dormir, Tiempo: 64, Batería gastada: 4
De la tarea: Aprender una nueva Fe Se completo la accion: Posesión demoniaca, Tiempo: 17, Batería gastada: 12
De la tarea: Aprender Medicina casera Se completo la accion: Todo un matasanos, Tiempo: 84, Batería gastada: 32
De la tarea: Aprender una nueva Fe Se completo la accion: Vuelto a la vida, Tiempo: 250, Batería gastada: 80
De la tarea: Comuna#5 Se completo la accion: Orar o realizar la actividad religiosa , Tiempo: 40, Batería gastada: 10
De la tarea: Comuna#3 Se completo la accion: Orar o realizar la actividad religiosa , Tiempo: 40, Batería gastada: 10
De la tarea: Crear y armar rompecabezas Se completo la accion: Armas el rompecazabas, Tiempo: 205, Batería gastada: 25
De la tarea: Comuna#2 Se completo la accion: Disfrutar del tiempo libre , Tiempo: 120, Batería gastada: 60
De la tarea: Comuna#2 Se completo la accion: Orar o realizar la actividad religiosa , Tiempo: 40, Batería gastada: 10
De la tarea: Comuna#1 Se completo la accion: Orar o realizar la actividad religiosa , Tiempo: 40, Batería gastada: 10
De la tarea: Aprender a cultivar Se completo la accion: Se libera estrés, Tiempo: 50, Batería gastada: 14

Se terminaron todas las tareas
Duró: 23074 minutos en terminar
El tiempo de espera promedio fue: 48.809322
